Name,City,Beds,Baths,Guests,Revenue Potential,Days Available,Revenue,Occupancy,Daily Rate,Rating
Superb villa at the foot of Disneyland & Val d'Europe & shops,Serris,4 Bed,3 Bath,10 Guests,€73.6k,325,€72.2k,44%,€504.7,0 (0)
"Large-Paris, CDG, Villepinte Expo, Disney, Asterix",Sevran,4 Bed,2.5 Bath,10 Guests,€47.7k,334,€46k,64%,€215,5 (72)
Entire house near RER/CDG/Parc Expos,Sevran,1 Bed,1 Bath,10 Guests,€53k,178,€43.4k,54%,€452.1,0 (0)
Beautiful spacious property in an exotic setting,Sevran,4 Bed,3 Bath,8 Guests,€47.6k,247,€38.4k,60%,€261,5 (28)
La Marina - Close to Paris & CDG Airport,Sevran,2 Bed,1 Bath,4 Guests,€35.3k,366,€35.3k,77%,€126.1,5 (19)
Peaceful home,Sevran,3 Bed,1 Bath,6 Guests,€27.4k,355,€27.2k,60%,€127.8,4 (6)
Entire Apartment 25 mins from PARIS DISNEY,Sevran,2 Bed,1 Bath,7 Guests,€25.4k,237,€25.4k,81%,€131.8,4 (2)
"Charming accommodation, free parking, RER B train, CDG Airport, Parc des Expos",Sevran,1 Bed,1 Bath,2 Guests,€24.2k,309,€23.7k,63%,€121.7,5 (1)
Spacious accommodation 10 minutes away Roissy,Sevran,4 Bed,2 Bath,9 Guests,€25.7k,177,€22.1k,62%,€201.1,4 (20)
Sweet home,Sevran,2 Bed,1.5 Bath,4 Guests,€21.7k,213,€21.5k,67%,€151.3,0 (0)
Apartment f3,Sevran,2 Bed,1 Bath,6 Guests,€22.7k,282,€21.1k,34%,€217.8,4 (33)
"New - Paris, CDG, Villepinte Expo, Disney, Astérix",Sevran,3 Bed,2.5 Bath,8 Guests,€21k,209,€20.9k,60%,€166.1,5 (33)
House near Paris/Parc expo Villepinte/Disney,Sevran,4 Bed,2 Bath,8 Guests,€25.6k,276,€20.5k,37%,€200.5,5 (8)
Detached house in very large garden near CDG airport and Paris Villepinte exhibition center,Sevran,1 Bed,1 Bath,2 Guests,€20.2k,366,€20.2k,65%,€85.4,0 (0)
Charming apartment in Sevran: comfort assured!,Sevran,1 Bed,1 Bath,4 Guests,€20.4k,323,€20k,79%,€78.3,5 (31)
Les 3 Lys - Beautiful 3 Bedroom apartment,Sevran,3 Bed,1 Bath,6 Guests,€21.2k,250,€19.6k,55%,€143.4,5 (1)
"Large family apartment, CDG, Paris & Disneyland",Sevran,3 Bed,1 Bath,6 Guests,€23.1k,306,€19.1k,39%,€160.5,5 (117)
Apartment Elegant near RER/ CDG Parc des Expos,Sevran,1 Bed,1 Bath,2 Guests,€19.1k,365,€19k,56%,€92.8,5 (36)
Detached house in a very large garden,Sevran,1 Bed,1 Bath,2 Guests,€20k,343,€18.8k,76%,€71.9,5 (74)
Luxurious 3+1 pcs apartment with garden 3 km from Paris,Sèvres,3 Bed,2 Bath,6 Guests,€148.1k,166,€81.5k,85%,€577.8,0 (0)
Spacious large apartment - Close to Paris,Sèvres,3 Bed,2 Bath,8 Guests,€61.6k,268,€61.1k,73%,€311.8,5 (40)
Luxurious house - jacuzzi - home cinema - gym - 4bed 4bathroom,Sèvres,4 Bed,3 Bath,8 Guests,€60.8k,286,€49.5k,45%,€387.1,5 (2)
House Garden Jacuzzi 15mn Eiffel Tower &Versailles,Sèvres,5 Bed,2 Bath,12 Guests,€44.9k,351,€42.5k,37%,€329.6,4 (181)
Peniche relaxant,Sèvres,1 Bed,1 Bath,2 Guests,€39k,341,€39k,33%,€341.8,4 (37)
Blue Haven Sèvres Vue parc,Sèvres,1 Bed,1 Bath,4 Guests,€38.2k,361,€37.7k,67%,€155.2,5 (61)
Blue Haven Sèvres Garden View,Sèvres,1 Bed,1 Bath,4 Guests,€38.3k,323,€34.4k,69%,€154.9,5 (11)
2apparts overlooking the terrace - free parking,Sèvres,3 Bed,2 Bath,9 Guests,€33.5k,300,€33.4k,78%,€142.8,4 (1)
"nearby metro Pont de Sèvres, Tramway Musée Sevres",Sèvres,1 Bed,1 Bath,4 Guests,€31k,214,€31k,75%,€192.5,5 (16)
"Maison Spacieuse à Sèvres de 200m2 Avec 3 Chambres, un Beau Jardin",Sèvres,3 Bed,0.5 Bath,6 Guests,€30.8k,50,€30.8k,96%,€642.6,0 (0)
Spacious home in Sèvres,Sèvres,3 Bed,3 Bath,6 Guests,€37.7k,64,€27.4k,75%,€570.3,0 (0)
Elegant 3 room apartment near Paris - 5pers,Sèvres,2 Bed,1.5 Bath,5 Guests,€27.5k,363,€27.4k,61%,€122.7,5 (32)
Homerez - Modern Apartment in Sèvres - 43 sqm - Free Parking,Sèvres,1 Bed,1 Bath,4 Guests,€26.4k,71,€26k,100%,€365.6,0 (2)
Splendid Villa with Garden near Paris-Sèvres,Sèvres,4 Bed,3 Bath,7 Guests,€74.5k,35,€25.8k,54%,€1.4k,0 (0)
Luxury apartment 10 minutes from Paris,Sèvres,2 Bed,1 Bath,4 Guests,€32k,129,€25.8k,71%,€283,5 (6)
Family villa with trees 15 minutes from Paris,Sèvres,5 Bed,3 Bath,8 Guests,€89.1k,117,€25.3k,47%,€459.5,5 (6)
Charmant Appartement Familial Avec Jardin,Sèvres,2 Bed,1 Bath,6 Guests,€25.9k,207,€25.1k,71%,€171.7,0 (0)
Charming family apartment with garden,Sèvres,2 Bed,1 Bath,7 Guests,€28k,255,€24.6k,69%,€139.6,5 (44)
La Maison des Rêves - Avec parking et Piscine,Soisy-sous-Montmorency,5 Bed,2 Bath,10 Guests,€69.8k,173,€69.7k,63%,€639.3,0 (2)
La Maison des Rêves - With parking and swimming pool,Soisy-sous-Montmorency,5 Bed,2 Bath,10 Guests,€68.4k,143,€67.6k,59%,€794.8,5 (3)
Appart Cosy & Connected 15 min from Paris - JO 2024,Soisy-sous-Montmorency,2 Bed,1.5 Bath,4 Guests,€52k,334,€49.4k,71%,€208.4,5 (2)
JO PARIS 2024 Charmante Maison,Soisy-sous-Montmorency,5 Bed,2 Bath,8 Guests,€124.4k,72,€40.9k,64%,€889.9,5 (1)
Beautiful renovated apartment with 3 suites,Soisy-sous-Montmorency,3 Bed,3 Bath,9 Guests,€41k,354,€39.7k,82%,€135.8,5 (128)
Villa 15min GAREduNORD. The countryside in Paris,Soisy-sous-Montmorency,6 Bed,1 Bath,14 Guests,€14.3k,94,€14.3k,61%,€250.4,4 (3)
Big house 10 people Transports à 5 mn,Soisy-sous-Montmorency,5 Bed,2 Bath,10 Guests,€19.3k,20,€12.8k,100%,€638.2,0 (0)
15 min Gare du Nord train/10min Stade de France,Soisy-sous-Montmorency,2 Bed,1 Bath,4 Guests,€14.4k,241,€11.4k,39%,€122.2,5 (55)
Maisonnette du Cèdre,Soisy-sous-Montmorency,1 Bed,1 Bath,3 Guests,€11.1k,275,€11k,74%,€53.9,5 (10)
Apartment near the lake,Soisy-sous-Montmorency,1 Bed,1 Bath,4 Guests,€12.4k,313,€10.7k,49%,€69.6,5 (46)
Charming house - near Paris,Soisy-sous-Montmorency,2 Bed,2 Bath,6 Guests,€18k,46,€9.9k,48%,€449.9,0 (0)
Bright studio with balcony.,Soisy-sous-Montmorency,1 Bed,1 Bath,2 Guests,€18.2k,189,€9.5k,91%,€55.5,5 (22)
Luxury place near Olympic Games,Soisy-sous-Montmorency,4 Bed,1 Bath,10 Guests,€23.6k,65,€9.4k,17%,€855.1,0 (0)
Soisy-sous-Montmorency: Great apartment and quiet neighborhood,Soisy-sous-Montmorency,1 Bed,1 Bath,3 Guests,€12.9k,250,€8.9k,72%,€49.3,5 (31)
Shopping fields/Paris in 20 min,Soisy-sous-Montmorency,1 Bed,1 Bath,4 Guests,€11.1k,186,€8.2k,74%,€60.1,5 (6)
Beautiful Studio in a Quiet area,Soisy-sous-Montmorency,0 Bed,1 Bath,2 Guests,€8.7k,296,€7.7k,74%,€35,4 (27)
Studio à 10 min de Paris.,Soisy-sous-Montmorency,1 Bed,1 Bath,2 Guests,€8.7k,258,€7.5k,57%,€51.1,5 (48)
Apar garden 4p 2 rooms Paris,Soisy-sous-Montmorency,2 Bed,1 Bath,4 Guests,€7.5k,131,€7.3k,54%,€102.6,5 (3)
Le Gite du Vertbois,Soisy-sur-Ecole,2 Bed,2 Bath,6 Guests,€43.3k,192,€24.3k,96%,€132,5 (65)
Hosted by Marylene,Soisy-sur-Ecole,2 Bed,1 Bath,4 Guests,€19.5k,263,€16k,66%,€92.2,5 (44)
La Charmette,Soisy-sur-Ecole,2 Bed,1.5 Bath,6 Guests,€14.6k,308,€13k,44%,€97.4,5 (19)
Le Chalet des Sables,Soisy-sur-Ecole,1 Bed,1 Bath,2 Guests,€12.9k,303,€10.3k,52%,€65,5 (100)
Charming stone home,Soisy-sur-Ecole,2 Bed,1 Bath,6 Guests,€16.1k,173,€8.2k,57%,€83.3,5 (185)
Country house,Soisy-sur-Ecole,2 Bed,1 Bath,6 Guests,€7.5k,109,€6.8k,52%,€118.5,5 (33)
Heart of Gâtinais,Soisy-sur-Ecole,2 Bed,1 Bath,4 Guests,€8.3k,40,€3.2k,100%,€80.8,0 (0)
Luxury single and self-catering room,Soisy-sur-Ecole,1 Bed,1 Bath,2 Guests,€2.3k,70,€1.1k,34%,€43.8,5 (10)
Quiet studio rentals,Soisy-sur-Ecole,0 Bed,1 Bath,2 Guests,€308.7,7,€308.7,86%,€51.5,5 (4)
The little charmer,Soisy-sur-Ecole,1 Bed,1 Bath,2 Guests,€365.7,81,€296.8,9%,€42.4,4 (5)
Bonjour à tous et à toutes,Soisy-sur-Ecole,2 Bed,0 Bath,3 Guests,€25.7,28,€25.7,4%,€25.7,0 (0)
Maison au Calme Dans un Village à 50 km de Paris,Soisy-sur-Ecole,2 Bed,1 Bath,4 Guests,€0,10,€0,100%,€0,0 (0)
Mansion near Paris: tradition and modernity,Soisy-sur-Seine,6 Bed,4 Bath,12 Guests,€130k,90,€56.2k,50%,€1.2k,5 (15)
Duplex 6 people cocooning (option),Soisy-sur-Seine,2 Bed,1 Bath,6 Guests,€14.7k,286,€11.7k,48%,€85.9,5 (97)
Soisy sur seine independent studio near Paris,Soisy-sur-Seine,0 Bed,1 Bath,2 Guests,€12.1k,168,€5.9k,80%,€44.3,5 (178)
Spa house,Soisy-sur-Seine,1 Bed,1 Bath,3 Guests,€6.1k,325,€5.6k,19%,€92.1,4 (11)
Property in a green setting close to Paris,Soisy-sur-Seine,5 Bed,2 Bath,15 Guests,€3.4k,32,€3.4k,16%,€672.5,0 (0)
Maison cosy proche forêt et RER,Soisy-sur-Seine,3 Bed,2 Bath,6 Guests,€18.5k,33,€2.1k,18%,€342.7,0 (0)
Maison d 'hôtes Soisy(30 minutes Paris),Soisy-sur-Seine,2 Bed,1 Bath,4 Guests,€2.1k,57,€2.1k,33%,€108,0 (0)
Studio Soisy Sur Seine,Soisy-sur-Seine,0 Bed,1 Bath,2 Guests,€1.7k,49,€1.6k,57%,€55.9,5 (15)
Separate apartment Quiet and welcoming house,Soisy-sur-Seine,1 Bed,1 Bath,4 Guests,€1.2k,68,€845.3,9%,€140.9,5 (1)
Separate apartment in nice quiet house,Soisy-sur-Seine,1 Bed,1 Bath,4 Guests,€343.6,55,€343.6,5%,€114.5,0 (0)
Separate apartment in cozy and quiet house,Soisy-sur-Seine,0 Bed,1 Bath,2 Guests,€322.5,76,€322.5,5%,€80.6,0 (0)
30 min from Paris a haven of peace for the Jo,Soisy-sur-Seine,1 Bed,1.5 Bath,6 Guests,€462.1,69,€151.6,3%,€75.8,1 (2)
London Room - 1 Student/Intern-Proche RER D,Soisy-sur-Seine,1 Bed,1 Bath,1 Guests,€770,13,€51.5,8%,€51.5,5 (6)
Gite de Greffiers,Sonchamp,5 Bed,5 Bath,10 Guests,€25.3k,126,€19.2k,27%,€564.4,5 (4)
L'Atelier: Country home south of Paris,Sonchamp,3 Bed,1 Bath,6 Guests,€24.7k,241,€16.9k,75%,€93.4,5 (169)
Tiny House Rambouillet| Unusual in the heart of the woods,Sonchamp,1 Bed,1 Bath,4 Guests,€14.4k,147,€14.2k,76%,€127.6,5 (7)
Tiny House La Clairière Au Cœur de la Forêt !,Sonchamp,1 Bed,1 Bath,4 Guests,€12k,170,€11.9k,54%,€131.1,0 (0)
Charming country house.,Sonchamp,2 Bed,1 Bath,5 Guests,€13.2k,86,€5.9k,86%,€80.2,4 (4)
The patio,Sonchamp,2 Bed,1 Bath,6 Guests,€4.9k,53,€4.9k,74%,€126.9,5 (6)
Maisonette for a green stopover,Sonchamp,2 Bed,1 Bath,2 Guests,€9.8k,119,€4.1k,71%,€47.9,5 (85)
country room in the forest of 78,Sonchamp,1 Bed,1 Bath,1 Guests,€2.7k,320,€2.4k,38%,€20.2,4 (34)
Quiet room in the forest 78,Sonchamp,1 Bed,1 Bath,1 Guests,€2.4k,279,€2.2k,38%,€20.6,5 (145)
Welcoming and well-equipped studio in Sonchamp 78120,Sonchamp,1 Bed,1 Bath,1 Guests,€5.8k,75,€1.7k,80%,€27.7,5 (59)
Quiet outbuilding with garden,Sonchamp,1 Bed,1 Bath,2 Guests,€1.8k,60,€600.9,10%,€100.2,5 (1)
The patio at Sonchamp,Sonchamp,2 Bed,0.5 Bath,6 Guests,€1.4k,33,€589.9,18%,€98.3,0 (0)
accommodation 93 m2 5 rooms on the ground floor,Sonchamp,3 Bed,1 Bath,6 Guests,€412.5,24,€412.5,13%,€137.5,5 (3)
Private room & bathroom,Sonchamp,0 Bed,1 Bath,2 Guests,€1.5k,28,€71.7,4%,€71.7,5 (2)
Nice independent apartment near the river,Souppes-sur-Loing,4 Bed,1 Bath,2 Guests,€80k,270,€80k,79%,€375.4,0 (0)
L'Allée du Quatre - Duplex guest house,Souppes-sur-Loing,3 Bed,3 Bath,8 Guests,€40.1k,359,€39.8k,36%,€310.9,5 (8)
Cottage on the edge of the woods,Souppes-sur-Loing,4 Bed,2 Bath,8 Guests,€34.7k,357,€34k,58%,€163.4,5 (40)
L'Allée du Quatre - Grand Gîte,Souppes-sur-Loing,4 Bed,4 Bath,12 Guests,€34.2k,233,€25.4k,26%,€415.6,5 (9)
Red love-room / Balnéo & more!,Souppes-sur-Loing,1 Bed,1 Bath,2 Guests,€18.2k,363,€18k,27%,€183.9,5 (97)
L'Allée du Quatre - Le Studio de la Longère,Souppes-sur-Loing,0 Bed,1 Bath,2 Guests,€16.3k,320,€14.7k,50%,€91.3,0 (0)
The 50 shades of red > loveroom BDSM,Souppes-sur-Loing,0 Bed,1 Bath,2 Guests,€13.6k,352,€13k,28%,€134.5,5 (97)
Black Love-room | Balneo - Movie Theater,Souppes-sur-Loing,1 Bed,1 Bath,2 Guests,€9k,207,€9k,28%,€157,5 (30)
Charming house with garden,Souppes-sur-Loing,1 Bed,1 Bath,4 Guests,€10k,315,€8.7k,64%,€43.4,5 (629)
Tiny House on the edge of a wood,Souppes-sur-Loing,0 Bed,1 Bath,2 Guests,€9.8k,277,€8.3k,66%,€45.5,5 (90)
"house, quiet, 180 m from Souppes train station,",Souppes-sur-Loing,1 Bed,1 Bath,5 Guests,€6.1k,329,€6.1k,27%,€67.3,4 (165)
Cozy apartment with mezzanine,Souppes-sur-Loing,2 Bed,1 Bath,6 Guests,€5.8k,240,€5.1k,32%,€67,5 (12)
"Family home sleeps 10, 1 hour from Paris",Souppes-sur-Loing,4 Bed,3.5 Bath,15 Guests,€4.9k,60,€4.9k,17%,€490.5,4 (1)
L'Allée du Quatre - La Chambre Villa,Souppes-sur-Loing,1 Bed,1 Bath,2 Guests,€5.5k,272,€4.5k,22%,€76.1,5 (2)
Night in the Jungle - Love Room,Souppes-sur-Loing,1 Bed,1 Bath,2 Guests,€4.4k,366,€4.4k,17%,€70.2,5 (47)
Le Voltaire (Gare Souppes > Gare Paris: 1h20),Souppes-sur-Loing,4 Bed,2 Bath,8 Guests,€4.2k,92,€4.2k,12%,€384,5 (32)
Le Petit Voltaire,Souppes-sur-Loing,1 Bed,1 Bath,2 Guests,€3.9k,337,€3.8k,13%,€87.9,5 (26)
50 shades of gray - BDSM - Loveroom,Souppes-sur-Loing,0 Bed,1 Bath,2 Guests,€3.7k,336,€3.5k,10%,€110.6,5 (28)
house/Garden near Paris,Stains,4 Bed,4 Bath,10 Guests,€67.7k,359,€66.9k,51%,€367.8,4 (6)
Chic and modern house with garden,Stains,6 Bed,6 Bath,12 Guests,€53.4k,349,€52.1k,58%,€257.7,4 (11)
The chic house in Saint Dénis,Stains,6 Bed,2 Bath,12 Guests,€49.1k,162,€38.3k,65%,€360.9,4 (8)
"quiet apartment with park view, close to Paris",Stains,2 Bed,1 Bath,5 Guests,€37.4k,355,€36.7k,90%,€114.7,5 (72)
The Green Villa Paris - 10 min Paris,Stains,3 Bed,2 Bath,7 Guests,€34k,330,€31.2k,69%,€137.3,5 (68)
Near Station/Paris CDG/Stade de France/Expo,Stains,3 Bed,2 Bath,8 Guests,€40.2k,227,€26.4k,60%,€193.1,5 (29)
Apartment near Paris Stade de France JO PARIS 2024,Stains,2 Bed,1 Bath,4 Guests,€24.2k,355,€23.5k,86%,€77.4,4 (149)
"Maison de Charme, Paris, Stade de France",Stains,2 Bed,0.5 Bath,8 Guests,€38k,219,€23k,33%,€319.4,0 (0)
Cozy apartment Close to Paris Free parking,Stains,2 Bed,1.5 Bath,5 Guests,€25.4k,242,€22.1k,67%,€136.5,5 (54)
Beautiful and spacious House with parking,Stains,6 Bed,5 Bath,12 Guests,€40.5k,152,€16k,32%,€325.9,0 (0)
Appartement moderne et simple,Stains,1 Bed,1 Bath,2 Guests,€15.7k,202,€15.7k,86%,€90.2,1 (1)
Spacious Elegant 14 min train station/12 min from Paris .,Stains,2 Bed,1.5 Bath,6 Guests,€19.2k,157,€14.8k,73%,€129.9,5 (52)
"Spacious, bright house for optimum comfort near Paris",Stains,6 Bed,3 Bath,12 Guests,€31.3k,55,€13.1k,25%,€934.4,4 (4)
"Homerez - Apt. in Stains, free Netflix",Stains,1 Bed,1 Bath,2 Guests,€13k,111,€12k,28%,€385.6,0 (0)
House 2024 Olympic Games,Stains,2 Bed,1 Bath,6 Guests,€17.4k,21,€11.1k,100%,€529.7,0 (0)
Cozy home with parking and balcony,Stains,3 Bed,1 Bath,6 Guests,€13.3k,141,€10.7k,64%,€118.4,5 (20)
Private room in duplex in Stains,Stains,1 Bed,1 Bath,2 Guests,€11.4k,345,€10.6k,99%,€31.1,5 (57)
"Homerez - Apt in Stains, near Paris",Stains,1 Bed,1 Bath,2 Guests,€10.7k,117,€10.6k,30%,€303.6,0 (0)
"Close to Paris and Disney, house with sauna pool",Sucy-en-Brie,4 Bed,3 Bath,10 Guests,€150.1k,330,€139.1k,68%,€623.8,5 (19)
5 rooms near Paris and Disney,Sucy-en-Brie,4 Bed,2 Bath,8 Guests,€53.9k,366,€53.9k,73%,€202.7,5 (45)
Villa Sucy,Sucy-en-Brie,5 Bed,3 Bath,7 Guests,€60.6k,115,€41.8k,62%,€589.3,0 (0)
Beautiful apartment near Paris and Disney,Sucy-en-Brie,2 Bed,1 Bath,4 Guests,€34.8k,305,€34.7k,59%,€191.5,4 (30)
Stunning apartment with great views of Paris,Sucy-en-Brie,2 Bed,1.5 Bath,5 Guests,€35.8k,349,€34.3k,70%,€140.7,5 (27)
Big home for 8 people,Sucy-en-Brie,4 Bed,3 Bath,8 Guests,€32.3k,259,€27.9k,39%,€276.4,0 (0)
Villa between Disney and Paris,Sucy-en-Brie,6 Bed,3 Bath,12 Guests,€37.1k,112,€21.5k,52%,€371.2,3 (1)
Refurbished one-bedroom apartment,Sucy-en-Brie,1 Bed,1.5 Bath,4 Guests,€24.4k,310,€21.3k,85%,€81.4,5 (99)
The House of Happiness,Sucy-en-Brie,2 Bed,1 Bath,4 Guests,€23k,195,€19.7k,67%,€150.3,5 (2)
Studio De La Gare,Sucy-en-Brie,1 Bed,1 Bath,2 Guests,€21.3k,319,€19.1k,68%,€87.6,5 (74)
Warm house with Jacuzzi,Sucy-en-Brie,4 Bed,3 Bath,6 Guests,€39.9k,58,€15.7k,93%,€289.9,5 (4)
Apartment with Sucy/Paris terrace,Sucy-en-Brie,2 Bed,1 Bath,4 Guests,€19.2k,240,€14.2k,53%,€110.6,5 (44)
*Appartement cosy * Paris*Disney,Sucy-en-Brie,2 Bed,1 Bath,4 Guests,€22.9k,230,€13.9k,65%,€93.6,5 (26)
"Beautiful quiet room, close to Paris and Disney",Sucy-en-Brie,1 Bed,1 Bath,2 Guests,€14k,345,€13.3k,92%,€41.8,5 (460)
Close to Paris and Disney,Sucy-en-Brie,1 Bed,1 Bath,2 Guests,€13.4k,348,€13.2k,61%,€62.1,5 (38)
Sucy-en-Brie Hostel,Sucy-en-Brie,1 Bed,1 Bath,2 Guests,€13.6k,345,€13.2k,45%,€84.8,5 (16)
Architect's house with pool near Paris,Sucy-en-Brie,5 Bed,3 Bath,8 Guests,€54.2k,32,€12.7k,75%,€531.1,5 (12)
Charmant studio,Sucy-en-Brie,1 Bed,1 Bath,4 Guests,€14.4k,321,€12.6k,53%,€74.8,5 (136)
Houseboat Summer Olympics Paris,Suresnes,4 Bed,3 Bath,7 Guests,€165k,302,€164k,89%,€611.8,5 (1)
"2 floor flat + Terrace, Eiffel Tower view",Suresnes,3 Bed,3 Bath,6 Guests,€80k,299,€66.8k,92%,€243.8,5 (186)
DREAM VIEW of PARIS 10min center 135m2 & Terrace,Suresnes,2 Bed,2.5 Bath,8 Guests,€61.9k,357,€60k,52%,€320.7,5 (287)
DREAM VIEW OF PARIS 10min from the center 135m2 with Terrace Edge of the canal,Suresnes,2 Bed,2.5 Bath,8 Guests,€64.2k,347,€59.8k,48%,€362.4,5 (14)
Maison Climatisée Avec Grand Jardin aux Portes de Paris,Suresnes,5 Bed,3 Bath,8 Guests,€92.5k,49,€56.6k,73%,€1.6k,0 (0)
Loft near Paris city center and accommodation or professional,Suresnes,3 Bed,3 Bath,6 Guests,€66.4k,266,€51.1k,85%,€225,4 (49)
Penthouse with balcony- 3BR/8P- in Puteaux,Suresnes,3 Bed,4 Bath,8 Guests,€75.1k,63,€48.9k,71%,€1.1k,0 (0)
Terrace apartment with views of the Seine,Suresnes,2 Bed,1.5 Bath,6 Guests,€58.7k,288,€48.4k,93%,€180.6,5 (65)
Family apartment in Suresnes - 4 bedrooms,Suresnes,4 Bed,2.5 Bath,8 Guests,€53.8k,322,€47.5k,61%,€239.9,5 (116)
GuestReady - Cosy and Calm in Suresnes,Suresnes,2 Bed,1 Bath,6 Guests,€46.6k,366,€46.6k,71%,€180.1,4 (37)
"Luxurious Maison Paris, Versailles, JOP, Roland!",Suresnes,8 Bed,4 Bath,12 Guests,€44.4k,90,€44.4k,48%,€1k,0 (0)
Beautiful townhouse near Paris - Family friendly,Suresnes,5 Bed,2 Bath,10 Guests,€82.2k,146,€42.1k,89%,€323.9,5 (1)
Luxury apartment 71 m2 cozy and bright,Suresnes,1 Bed,2 Bath,4 Guests,€61.1k,157,€40.1k,68%,€377.9,5 (23)
DREAM View & SPA ! 10min from center of Paris!,Suresnes,0 Bed,1 Bath,2 Guests,€40.8k,355,€39.9k,79%,€142.5,5 (226)
Superb 45 m² quiet,Suresnes,2 Bed,1 Bath,4 Guests,€46k,269,€37.9k,94%,€150.6,0 (0)
Large Family House with garden,Suresnes,4 Bed,2 Bath,9 Guests,€38k,332,€37.2k,39%,€284.1,5 (19)
L 'Éclat Citadin on the outskirts of Paris,Suresnes,3 Bed,1 Bath,6 Guests,€42.2k,284,€36.9k,54%,€239.8,5 (43)
Charming Apartment with Garden,Suresnes,1 Bed,1 Bath,2 Guests,€44.3k,281,€36.8k,88%,€148.3,5 (17)
10 min from Asterix Park and 20 min. from Roissy CDG,Survilliers,2 Bed,1 Bath,6 Guests,€17.2k,322,€15.1k,47%,€99.9,5 (132)
"Résidence du Houx - 1 (Asterix, CDG Airport...)",Survilliers,1 Bed,1 Bath,4 Guests,€12.2k,308,€12k,38%,€102.3,4 (53)
"Résidence du Houx - 4 (Asterix, CDG Airport...)",Survilliers,1 Bed,1 Bath,4 Guests,€11.6k,316,€11.3k,36%,€99.5,5 (57)
Mi Ville - Mi countryside,Survilliers,3 Bed,1 Bath,6 Guests,€16.7k,172,€10k,44%,€133.5,5 (29)
Beautiful house with garden near Paris. Ideal Location JO 2024,Survilliers,3 Bed,1 Bath,8 Guests,€8.4k,27,€8.4k,41%,€766.7,0 (0)
"Résidence du Houx -6 (Astérix, CDG Airport)",Survilliers,1 Bed,1 Bath,4 Guests,€7k,307,€7k,23%,€98.5,5 (13)
JO2024#Paris#Asterix# RCG airport#Private parking,Survilliers,1 Bed,1 Bath,4 Guests,€7k,258,€6.4k,18%,€140.1,5 (57)
"Apartment F3, 5 min from Asterix",Survilliers,2 Bed,1 Bath,6 Guests,€9.2k,72,€5.9k,54%,€152.4,5 (24)
Nice cosy home with big garden,Survilliers,2 Bed,1 Bath,4 Guests,€5.5k,240,€5.2k,22%,€99,5 (47)
"Résidence du Houx - 5 (Asterix, CDG Airport...)",Survilliers,0 Bed,1 Bath,3 Guests,€5.2k,324,€5.2k,18%,€90.6,5 (28)
5 minutes from Parc Astérix,Survilliers,2 Bed,1 Bath,4 Guests,€7.8k,85,€5k,47%,€124.9,5 (18)
Private Room in House,Survilliers,1 Bed,1 Bath,2 Guests,€7.2k,120,€3k,51%,€49.3,5 (41)
Family home 10 minutes from Roissy CDG,Survilliers,3 Bed,1.5 Bath,5 Guests,€15.5k,17,€2.8k,53%,€306.3,5 (14)
"Résidence du Houx - 2 (Asterix, CDG Airport...)",Survilliers,1 Bed,1 Bath,4 Guests,€2.6k,193,€2.6k,13%,€98.4,4 (22)
"Résidence du Houx - 3 (Asterix, CDG Airport)",Survilliers,0 Bed,1 Bath,4 Guests,€3.4k,175,€2.5k,15%,€95.2,5 (5)
Quiet and cozy apartment,Survilliers,1 Bed,1 Bath,3 Guests,€4.6k,52,€2.4k,58%,€80.7,5 (18)
Large house with wooded garden,Survilliers,3 Bed,1 Bath,7 Guests,€5.3k,9,€1.6k,33%,€525.9,0 (0)
APPARTEMENT/ASTERIX/CHANTILLY/PARIS/DISNEY,Survilliers,3 Bed,1 Bath,4 Guests,€749.7,33,€749.7,18%,€125,5 (26)
Home,Taverny,3 Bed,2 Bath,6 Guests,€27.3k,146,€27.3k,97%,€193.6,5 (1)
Very cute house with a pool,Taverny,3 Bed,2 Bath,6 Guests,€23.5k,99,€23.5k,42%,€559.2,0 (0)
Maison taverny heated pool,Taverny,3 Bed,2 Bath,11 Guests,€29.9k,27,€21.9k,48%,€1.7k,0 (0)
Apartment Taverny,Taverny,2 Bed,1 Bath,4 Guests,€20.2k,366,€20.2k,47%,€118.2,0 (0)
Appartement SPA Jacuzzi - L'Osmose by LoveOnYou,Taverny,1 Bed,1.5 Bath,2 Guests,€19.1k,278,€17.5k,53%,€119.2,5 (109)
Family / children's house 30 min from Paris Centre,Taverny,3 Bed,2 Bath,6 Guests,€33.6k,152,€17.1k,91%,€123.9,5 (20)
30mn apartment from Paris by train. 5 min TO 115.,Taverny,1 Bed,1 Bath,4 Guests,€17.5k,351,€16.9k,58%,€83.5,5 (92)
Apartment Taverny.,Taverny,1 Bed,1 Bath,2 Guests,€16k,355,€16k,43%,€104.6,4 (7)
Large family home 30 minutes from Paris and the Stade de France,Taverny,4 Bed,0.5 Bath,8 Guests,€29.7k,139,€15.9k,58%,€199.1,0 (0)
Big home 30 minutes from Paris,Taverny,4 Bed,2 Bath,8 Guests,€28.1k,196,€15.1k,37%,€209.3,5 (6)
Townhouse 12 people,Taverny,5 Bed,2 Bath,13 Guests,€71.3k,41,€13.7k,63%,€525.8,5 (6)
Appartement•Taverny,Taverny,3 Bed,1 Bath,6 Guests,€16k,245,€13.1k,42%,€127.3,5 (17)
